speed,down_up,price,name,type,address,success
20 Mbps,Upload,69.95,Armstrong,Zoom II,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,19.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,19.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,25,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,29.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,47.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,57.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
150 Mbps,Download,54.95,Armstrong,Zoom,"Perry County, Tennessee, 37097, United States",True
10 Mbps,Upload,54.95,Armstrong,Zoom,"Perry County, Tennessee, 37097, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Perry County, Tennessee, 37097, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Perry County, Tennessee, 37097, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"Perry County, Tennessee, 37097, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,25,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,29.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,47.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,57.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,69.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Perry County, Tennessee, 37097, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,25,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,47.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,59.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,59.99,Windstream,Internet Only,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"Perry County, Tennessee, 37097, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"Perry County, Tennessee, 37097, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"Perry County, Tennessee, 37097, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,34.95,Armstrong,Zoom Express,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,34.95,Armstrong,Zoom Express,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,84.99,Viasat Internet,Unlimited Silver 25,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,89.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,89.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,109.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,109.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,139.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,139.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
25 Mbps,Download,159.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
3 Mbps,Upload,159.99,HughesNet,Internet Only,"Perry County, Tennessee, 37097, United States",True
